,name,id,office,position,cars_info,cars_family_info,all_cars_sum_uah_mln,monthly_salary,all_salary,car_years,all_estate,group,group_car,group_flat,group_years
167,Алєксєєва Наталія Юнівна,vulyk_26_64,Адміністративний місцевий суд,суддя полтавського окружного адміністративного суду,ВАЗ 21093;Mitsubishi ASX;,Ford Kuga;Toyota Highlander;;,0.99,14608.0,160025.0,0.5,532.0,суди,medium,medium,superlow
173,Амелін Вячеслав Іванович,vulyk_8_120,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mitsubishi Outlander XL;Hyundai Santa FE;,;;,0.56,22303.0,22303.0,2.1,179.0,суди,medium,superlow,medium
175,Андрейків Андрій Іванович,vulyk_10_18,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника волинської митниці дфс,;;,Toyota Camry;;;;,0.17,52923.0,55617.0,0.3,370.0,митники,low,low,superlow
183,Андрухів Василь Михайлович,vulyk_13_106,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник головного управління державної фіскальної служби у дніпропетровській області,;;;,Lexus RX 350;;;,0.31,11814.0,11814.0,2.2,695.0,митники,low,medium,medium
189,Андрющенко Сергій Михайлович,vulyk_37_152,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника артемівської одпі гу міндоходів у донецькій області,Toyota Camry;;,;;;;;,0.19,6201.0,6201.0,2.5,308.0,митники,low,low,medium
205,Антоненко Наталія Олександрівна,vulyk_45_198,Загальний апеляційний суд,суддя апеляційного суду м. києва,Suzuki SX4;;,;;;;,0.11,20603.0,20603.0,0.4,435.0,суди,low,low,superlow
241,Атаманчук Олексій Петрович,vulyk_29_39,Міністерство внутрішніх справ,заступник начальника - начальник мгб кам'янець-подільського рв умвс україни в хмельницькій обл..,Opel Vectra B;ВАЗ 2101;;,;,0.64,5766.0,5766.0,9.2,150.0,МВС,medium,superlow,high
243,Афонов Роман Петрович,vulyk_13_107,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника головного управління дфс у запорізький області,Skoda Superb;;;,Nissan X-Trail;;;,0.54,6709.0,6709.0,6.8,197.0,митники,medium,superlow,medium
244,Ахіджанян Жанна Суренівна,vulyk_26_191,Міністерство внутрішніх справ,начальник кримінальної міліції у справах дітей умвс україни в полтавській області,Chevrolet Aveo;;,Chevrolet Aveo;;;,0.2,8851.0,8851.0,1.9,547.0,МВС,low,medium,superlow
258,Бабій Сергій Олександрович,vulyk_55_179,Загальний місцевий суд,суддя павлоградського міськрайонного суду дніпропетровської області,Mitsubishi Lancer;Toyota Rav 4,Toyota Yaris;;,0.55,14188.0,14188.0,3.3,230.0,суди,medium,superlow,medium
291,Балась Тетяна Павлівна,vulyk_54_139,Адміністративний місцевий суд,Суддя Окружного адміністративного суду міста Києва,Honda CR-V;;;,Toyota Camry;Mitsubishi Outlander;;,0.3,2517.0,8190.0,3.0,337.0,суди,low,low,medium
305,Баранов Микола Миколайович,vulyk_57_55,Господарський місцевий суд,голова господарського суду вінницької області,;;;,Subaru Forester;;;,0.17,22419.0,22579.0,0.6,378.0,суди,low,low,superlow
315,Барбара Валентин Петрович,vulyk_56_152,Верховний суд,заступник голови верховного суду україни - секретар судової палати у господарських справах,Mercedes-Benz A 150;;,Mercedes-Benz GL 350;;,1.12,29226.0,29226.0,3.2,325.0,суди,high,low,medium
321,Барицька Тетяна Луківна,vulyk_8_22,Вищий господарський суд,суддя вищого господарського суду україни,;;,BMW X5;;,0.61,25246.0,25246.0,2.0,85.0,суди,medium,superlow,medium
324,Бартащук Любов Петрівна,vulyk_42_163,Загальний місцевий суд,суддя дніпровського районного суду міста києва,BMW X5;;;,;;,0.61,17811.0,17811.0,2.8,535.0,суди,medium,medium,medium
340,Бацуца Тетяна Миколаївна,vulyk_32_182,Загальний місцевий суд,голова хмельницького міськрайонного суду хмельницької області,;;;,Volkswagen Multivan;;,0.24,23019.0,59074.0,0.3,314.0,суди,low,low,superlow
342,Башинський Станіслав Францович,vulyk_54_175,Загальний місцевий суд,голова житомирського районного суду житомирської області,Nissan Qashqai;;;,Ford Focus;Ford Kuga;;,0.51,22807.0,22807.0,1.9,200.0,суди,medium,superlow,superlow
353,Бездрабко Олег Іванович,vulyk_43_126,Адміністративний місцевий суд,суддя херсонського окружного адміністративного суду,Toyota Avensis;Toyota Camry;,;;,0.5,18925.0,18925.0,2.2,307.0,суди,medium,low,medium
380,Бенедик Анна Петрівна,vulyk_56_114,Апеляційний адміністративний суд,заступник голови харківського апеляційного адміністративного суду,;;,Volkswagen Touareg;;,0.61,22019.0,46873.0,1.1,99.0,суди,medium,superlow,superlow
381,Бенедисюк Ігор Михайлович,vulyk_8_82,Вищий господарський суд,суддя вищого господарського суду україни,Volkswagen Touareg;;,Toyota Rav 4;;,0.59,25948.0,28261.0,1.7,97.0,суди,medium,superlow,superlow
384,Бердан Наталія Володимирівна,vulyk_21_100,Загальний місцевий суд,голова калуського міськрайонного суду івано-франківської області,Daihatsu;;;,ВАЗ 2121;ВАЗ 21063;ваз 2121;Mercedes-Benz;SsangYong Rexton,0.2,19908.0,19908.0,0.8,840.0,суди,low,medium,superlow
387,Бережний Сергій Дмитрович,vulyk_32_131,Загальний апеляційний суд,суддя апеляційного суду хмельницької області,ЗАЗ Sens;;;,;;,0.05,0.0,0.0,inf,436.0,суди,superlow,low,high
396,Березнер Володимир Анатолійович,vulyk_11_85,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника гайсинської одпі гу дфс у вінницькій області,УАЗ 469Б;Volkswagen T4;Volkswagen T5,Volkswagen Polo;;;,0.38,5900.0,10524.0,3.0,919.0,митники,low,medium,medium
417,Бех Микола Олексійович,vulyk_8_164,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mazda CX-5;;,;;,0.34,21738.0,21738.0,1.3,553.0,суди,low,medium,superlow
418,Бех Олег Володимирович,vulyk_25_19,Міністерство внутрішніх справ,в. о. начальника умвс україни в полтавській області,;;;,BMW X5;Mini Cooper;;,0.52,8957.0,8957.0,4.9,292.0,МВС,medium,superlow,medium
420,Бець Юрій Григорович,vulyk_27_109,Міністерство внутрішніх справ,начальник лубенського мв умвс україни в полтавській області,;ІЖ-2715;,BMW X5;ІЖ-2715;,0.61,6633.0,34187.0,1.5,58.0,МВС,medium,superlow,superlow
422,Бешлієва Тетяна Анатоліївна,vulyk_15_99,Загальний місцевий суд,суддя ренійського районного суду одеської області,ВАЗ 2103;;,Chery Tiggo;;;,0.08,21082.0,22887.0,0.3,329.0,суди,superlow,low,superlow
423,Бешта Григорій Борисович,vulyk_59_145,Загальний апеляційний суд,суддя апеляційного суду волинської області,Mazda 6;;,ВАЗ Нива;;;,0.24,21784.0,26858.0,0.7,556.0,суди,low,medium,superlow
433,Бліщ Оксана Богданівна,vulyk_20_139,Загальний місцевий суд,заступник голови рахівського районного суду закарпатської області,;;;,Toyota Land Cruiser Prado;;;,0.24,18699.0,18699.0,1.1,526.0,суди,low,medium,superlow
438,Бобкова Ніна Володимирівна,vulyk_21_184,Загальний місцевий суд,заступник голови білоцерківського міськрайонного суду київської області,;;;,Toyota Camry;;;;,0.25,19179.0,27147.0,0.8,308.0,суди,low,low,superlow
439,Бобров Юрій Олександрович,vulyk_44_163,Адміністративний місцевий суд,суддя івано-франківського окружного адміністративного суду,Mercedes-Benz E-Class;;,Opel Corsa;;,0.39,20085.0,21152.0,1.6,557.0,суди,low,medium,superlow
444,Богаш Олександр Яношович,vulyk_10_71,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,головний державний інспектор митного посту виноградів чопської митниці міндоходів,Volkswagen Tiguan;;,Volkswagen Passat;;;;,0.25,3739.0,3739.0,5.6,307.0,митники,low,low,medium
449,Боговський Дмитро Євгенович,vulyk_16_24,Загальний місцевий суд,суддя комінтернівського районного суду м. харкова,Mitsubishi Outlander;;,Mitsubishi Colt;Ford Kuga;;;;;,0.46,17350.0,17350.0,2.2,363.0,суди,low,low,medium
464,Боднарюк Олег Васильович,vulyk_51_151,Адміністративний місцевий суд,суддя (голова) чернівецького окружного адміністративного суду,BMW X6;;;,Honda Coupe;;;;,0.88,18292.0,18292.0,4.0,0.0,суди,medium,superlow,low
466,Божко Ігор Миколайович,vulyk_35_7,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника-начальник чутівського відділення карлівської одпі гу міндоходів в полтавській області,Honda CR-V;;,Toyota Rav 4;;;;,0.3,5914.0,12495.0,2.0,416.0,митники,low,low,medium
484,Бойко Сергій Сергійович,vulyk_26_65,Адміністративний місцевий суд,суддя полтавського окружного адміністративного суду,Skoda Superb;;,Honda CR-V;Skoda Superb;;,0.6,16845.0,16845.0,3.0,471.0,суди,medium,low,medium
502,Болобан Валентин Георгійович,vulyk_37_127,Загальний місцевий суд,суддя ленінського районного суду м. донецька,;;,Land Rover Range Rover Sport;;;;;,0.53,10254.0,10254.0,4.3,81.0,суди,medium,superlow,medium
517,Бондар Сергій Володимирович,vulyk_8_83,Вищий господарський суд,суддя вищого господарського суду україни,;;,Renault Koleos;Renault Laguna;,0.31,22855.0,24411.0,1.1,871.0,суди,low,medium,superlow
518,Бондар Сергій Миколайович,vulyk_10_141,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник відділу митного оформлення №2 митного поста григорівка південної митниці міндоходів,Ford Fusion;Mitsubishi Pajero Sport;,Ford Fusion;;;;,0.52,5772.0,5772.0,7.5,204.0,митники,medium,superlow,high
519,Бондар Яна Миколаївна,vulyk_41_180,Загальний апеляційний суд,суддя апеляційного суду дніпропетровської області,;;;,Ford Fiesta;;;;,0.08,18955.0,18955.0,0.3,424.0,суди,superlow,low,superlow
528,Бондаренко Надія Володимирівна,vulyk_27_159,Загальний апеляційний суд,суддя апеляційного суду рівненської області,Renault Laguna;;,;;,0.14,21329.0,21329.0,0.5,523.0,суди,low,medium,superlow
542,Борденюк Євгенія Миколаївна,vulyk_8_84,Вищий господарський суд,суддя вищого господарського суду україни,Honda HR-V;;,;;,0.12,21127.0,37518.0,0.3,336.0,суди,low,low,superlow
543,Борейко Олена Миколаївна,vulyk_37_66,Загальний місцевий суд,суддя кіровського районного суду м. донецька,Lexus RX 350;;,;;;;;,0.31,6446.0,6446.0,4.0,360.0,суди,low,low,medium
545,Борець Олександр Миколайович,vulyk_29_8,Міністерство внутрішніх справ,"начальник уіаз умвс в хмельницькій області 5 категорія, 9 ранг",ВАЗ 21113;Skoda Octavia;Nissan Qashqai+2;,;,0.38,9263.0,9263.0,3.4,491.0,МВС,low,low,medium
552,Бориславський Юрій Любомирович,vulyk_18_32,Загальний місцевий суд,голова залізничного районного суду м. львова,Lexus IS 300;;,Audi Q7;;,0.92,17153.0,24446.0,3.1,261.0,суди,medium,superlow,medium
555,Борисова Олена Василівна,vulyk_51_3,Загальний апеляційний суд,суддя апеляційного суду міста києва,;;;,Mercedes-Benz A 180;;;;,0.12,19999.0,21558.0,0.4,317.0,суди,low,low,superlow
566,Бородавко Ігор Петрович,vulyk_28_169,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника гу дфс у рівненській області,Acura MDX;Infiniti FX 37S;;;;,Mazda 3;;;,0.83,6755.0,22255.0,3.1,0.0,митники,medium,superlow,low
568,Бородовський Станіслав Олександрович,vulyk_44_89,Загальний місцевий суд,суддя івано-франківського міського суду івано-франківської області,;;,Toyota Auris;;,0.12,18858.0,18858.0,0.5,887.0,суди,low,medium,superlow
572,Бородіна Наталія Михайлівна,vulyk_52_28,Загальний місцевий суд,суддя київського районного суду м. харкова,Lexus RX 350;,Acura RL;;;,0.65,16924.0,18184.0,3.0,139.0,суди,medium,superlow,medium
598,Братасюк Віктор Миколайович,vulyk_31_3,Загальний місцевий суд,суддя тернопільського міськрайонного суду тернопільської області,Renault Duster;;;,;;,0.16,17264.0,21794.0,0.6,306.0,суди,low,low,superlow
599,Браташ Віктор Петрович,vulyk_18_144,Міністерство внутрішніх справ,заступник начальника районного відділу - начальника мгб кам'яно-бузького рв гумвсу у львівській області,Renault Logan;;,;;,0.12,4680.0,4680.0,2.1,362.0,МВС,low,low,medium
608,Бригинець Лариса Миколаївна,vulyk_55_140,Апеляційний господарський суд,суддя рівненського апелляційного господарського суду,Toyota;,Ford Transit;;,0.59,20638.0,20638.0,2.4,368.0,суди,medium,low,medium
610,Бринцев Олексій Васильович,vulyk_59_58,Господарський місцевий суд,суддя господарського суду харківської області,Nissan Murano;;,Mitsubishi Lancer;;;,0.46,18699.0,18699.0,2.0,556.0,суди,low,medium,medium
611,Британчук Володимир Васильович,vulyk_8_165,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Nissan X-Trail;;,Nissan Qashqai;Nissan Qashqai;,0.69,25197.0,28555.0,2.0,311.0,суди,medium,low,medium
612,Бровченко Ігор Олександрович,vulyk_55_26,Загальний апеляційний суд,суддя апеляційного суду харківської області,;,Mercedes-Benz CL-350;;,1.16,23309.0,25869.0,3.7,266.0,суди,high,superlow,medium
624,Бугрименко Володимир Григорович,vulyk_43_172,Загальний апеляційний суд,суддя апеляційного суду херсонської області,Chevrolet;;,;;,0.08,21712.0,21712.0,0.3,774.0,суди,superlow,medium,superlow
627,Бударний Олександр Володимирович,vulyk_34_81,Міністерство внутрішніх справ,перший заступник начальника - начальник слідчого управління гумвс україни в харківській області,Mercedes-Benz GL 500;;,Toyota Camry;;,0.72,11378.0,11378.0,5.3,275.0,МВС,medium,superlow,medium
639,Булгакова Ганна Володимирівна,vulyk_39_53,Загальний місцевий суд,суддя біловодського районного суду луганської області,Chevrolet Aveo;;;;;;;;;;;,;;;;,0.08,14371.0,20664.0,0.3,334.0,суди,superlow,low,superlow
640,Буленко Олександр Олексійович,vulyk_26_40,Апеляційний суд,заступник голови апеляційного суду полтавської області,Lexus GX;;,Toyota Camry;;;,0.9,23293.0,23293.0,3.2,301.0,суди,medium,low,medium
647,Буракова Алла Миколаївна,vulyk_59_59,Господарський місцевий суд,суддя господарського суду харківської області,Mercedes-Benz C-Class;;,Mercedes-Benz C 180;Skoda Octavia;;,0.7,15684.0,45574.0,1.3,467.0,суди,medium,low,superlow
682,Буцький Василь Валерійович,vulyk_16_18,Загальний місцевий суд,голова комінтернівського районного суду м. харкова,Suzuki Grand Vitara;;,Chevrolet Aveo;;;;;;,0.23,20625.0,25893.0,0.8,634.0,суди,low,medium,superlow
683,Буцьких Дмитро Олександрович,vulyk_12_106,Міністерство внутрішніх справ,заступник начальника дму гумвс україни в дніпропетровській області,Toyota Land Cruiser 200;;;,Lexus ES 350;;,1.46,3737.0,3737.0,32.5,240.0,МВС,high,superlow,high
690,Бєгунова Ольга Вікторівна,vulyk_39_195,Загальний місцевий суд,голова кролевецького районного суду сумської області,;;;;;;;;;;;,Mitsubishi Outlander;ВАЗ 21061;;;,0.15,21495.0,21495.0,0.6,442.0,суди,low,low,superlow
711,Білецький Олександр Григорович,vulyk_11_105,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника - начальник томашпільського відділення крижопільської одпі гу дфс у вінницькій області,;;,Citroen Berlingo;;;,0.07,5703.0,10252.0,0.5,361.0,митники,superlow,low,superlow
719,Білоконь Олександр Андрійович,vulyk_15_44,Міністерство внутрішніх справ,начальник тарутинського рв гумвс україни в одеській області,SsangYong Korando;;,ВАЗ 2102;;;,0.24,3911.0,9345.0,2.2,348.0,МВС,low,low,medium
730,Білоусов Сергій Миколайович,vulyk_45_162,Господарський місцевий суд,заступник голови господарського суду полтавської області,Toyota Camry;;,Toyota Rav 4;;;;,0.53,17499.0,17499.0,2.5,128.0,суди,medium,superlow,medium
742,Бірюков Руслан Миколайович,vulyk_26_184,Міністерство внутрішніх справ,"заступник начальника убоп гу мвс україни в одеській області, підполковник міліції",BMW;Land Rover Range Rover Sport;,Land Rover Range Rover Sport;;;,1.42,9187.0,9187.0,12.9,293.0,МВС,high,superlow,high
771,Василевич Віктор Степанович,vulyk_27_161,Загальний апеляційний суд,суддя апеляційного суду рівненської області,;;,Volkswagen Tiguan;;,0.35,22305.0,37521.0,0.8,416.0,суди,low,low,superlow
772,Василевич Олег Вікторович,vulyk_28_21,Загальний місцевий суд,суддя острозького районного суду рівненської області,Volkswagen Tiguan;;;;;,Volkswagen Polo;ВАЗ 2107;Mitsubishi Pajero;Barkas (Баркас) 1000 D,0.47,15216.0,37521.0,1.0,499.0,суди,low,low,superlow
781,Васильонок Вадим Вікторович,vulyk_39_40,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника митного поста - начальник відділу митного оформлення пасажирський митного поста конотоп сумської митниці дфс,ВАЗ 21093;Opel Insignia;Toyota Highlander;;;;;;;;;,Toyota Highlander;;;;,1.01,8291.0,8291.0,10.2,142.0,митники,high,superlow,high
782,Васильцов Олег Володимирович,vulyk_17_200,Загальний місцевий суд,заступник голови мелітопольського міськрайонного суду запорізької області,Skoda Octavia;;;,Peugeot 107;ЗАЗ 1102 Таврия;;;,0.26,20554.0,38739.0,0.6,302.0,суди,low,low,superlow
786,Васильєв Олег Юрійович,vulyk_41_3,Господарський місцевий суд,заступник голови господарського суду дніпропетровської області,Honda Pilot;;;,Nissan Note;;;;,0.36,17700.0,24428.0,1.2,684.0,суди,low,medium,superlow
827,Вербицька Лариса Іванівна,vulyk_43_152,Загальний апеляційний суд,суддя апеляційного суду херсонської області,;;,Range Rover;Porsche Panamera;Volkswagen Touareg,2.43,19786.0,19786.0,10.2,662.0,суди,high,medium,high
854,Винниченко Петро Павлович,vulyk_15_197,Загальний місцевий суд,голова ізюмського міськрайонного суду харківської області,Land Rover Range Rover;;,Land Rover Range Rover;;;,0.86,19471.0,28498.0,2.5,189.0,суди,medium,superlow,medium
856,Виноградов Олександр Іванович,vulyk_19_8,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,"начальник митного поста західний київської міської митниці, державної фіскальної служби",;;,Toyota Camry;;,0.21,7806.0,11031.0,1.6,410.0,митники,low,low,superlow
868,Вихованець Олександр Йосипович,vulyk_10_74,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник митного посту чопської митниці міндоходів,;;,ВАЗ 21053;;;;,0.02,5967.0,9047.0,0.2,310.0,митники,superlow,low,superlow
875,Владимиренко Світлана Вячеславівна,vulyk_8_23,Вищий господарський суд,суддя вищого господарського суду україни,Volvo S80;;,;;,0.19,18725.0,37946.0,0.4,616.0,суди,low,medium,superlow
916,Воловик Сергій Володимирович,vulyk_39_132,Адміністративний місцевий суд,суддя сумського окружного адміністративного суду,BMW X3;;;;;;;;;;;,BMW X3;;;;,0.55,15102.0,15102.0,3.0,218.0,суди,medium,superlow,medium
921,Волошенюк Ірина Євгенівна,vulyk_16_52,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника дпі у дзержинському районі м. харкова гу дфс у харківській області,Toyota Rav 4;;,Audi Q7;Toyota Rav 4;;;;;,0.94,4632.0,16837.0,4.6,154.0,митники,medium,superlow,medium
930,Волошко Сергій Григорович,vulyk_43_145,Загальний апеляційний суд,секретар судової палати з розгляду кримінальних справ апеляційного суду херсонської області,Mazda 6;;,;;,0.11,23429.0,23429.0,0.4,334.0,суди,low,low,superlow
932,Волік Іван Миколайович,vulyk_8_24,Вищий господарський суд,суддя вищого господарського суду україни,Volkswagen Touareg;;,;;,0.61,23557.0,23557.0,2.1,332.0,суди,medium,low,medium
951,Вівчар Георгій Аурелович,vulyk_33_188,Загальний місцевий суд,голова новоселицького районного суду чернівецької області,ВАЗ 21015;Audi A6;;,ВАЗ 21010;;;,0.29,18498.0,18498.0,1.3,370.0,суди,low,low,superlow
971,Вітюк Анатолій Іванович,vulyk_25_10,Міністерство внутрішніх справ,начальник умвс україни в кіровоградській області,Volkswagen T5;;;,Hyundai IX-35;;;,0.53,8993.0,15101.0,2.9,75.0,МВС,medium,superlow,medium
974,Віхрова Вікторія Станіславівна,vulyk_41_53,Адміністративний місцевий суд,суддя дніпропетровського окружного адміністративного суду,Audi Q7;;;,;;;;,0.55,14607.0,20997.0,2.2,370.0,суди,medium,low,medium
1010,Гайдаєв Юрій Олександрович,vulyk_29_146,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник спеціалізованої лабораторії з питань експертизи та досліджень міністерства доходів і зборів україни,Audi Q7;;;,Porsche Cayenne;,1.14,12034.0,67461.0,1.4,1029.0,митники,high,high,superlow
1011,Гайдич Роман Михайлович,vulyk_21_78,Загальний місцевий суд,суддя городенківського районного суду івано-франківської області,;;;,Suzuki Grand Vitara;;;;,0.16,15325.0,16328.0,0.8,318.0,суди,low,low,superlow
1019,Гал Лайош Лайошович,vulyk_58_76,Загальний місцевий суд,"суддя, голова берегівського районного суду закарпатської області",Suzuki SX4;;,;;;,0.12,20097.0,21336.0,0.4,326.0,суди,low,low,superlow
1028,Галацевич Оксана Миколаївна,vulyk_58_136,Загальний апеляційний суд,суддя апеляційного суду житомирської області,Kia Rio;ВАЗ 21011;,ГАЗ 2410 Волга;;;,0.17,19582.0,20800.0,0.7,421.0,суди,low,low,superlow
1033,Галич Анатолій Іванович,vulyk_36_25,Загальний місцевий суд,голова прилуцького міськрайонного суду чернігівської області,Toyota Camry;,;,0.14,22375.0,22375.0,0.5,378.0,суди,low,low,superlow
