,name,id,office,position,cars_info,cars_family_info,all_cars_sum,all_cars_sum_uah,all_cars_sum_uah_mln,monthly_salary,monthly_salary_family,all_salary,all_estate,group,car_years,group_car,group_flat,group_years
178,Амелін Вячеслав Іванович,vulyk_8_120,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mitsubishi Outlander XL;Hyundai Santa FE;,;;,46704.0,560448.0,0.56,22303.0,0.0,22303.0,179.0,суди,2.1,low,superlow,superlow
188,Андрухів Василь Михайлович,vulyk_13_106,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник головного управління державної фіскальної служби у дніпропетровській області,;;;,Lexus RX 350;;;,25501.0,306012.0,0.31,11814.0,0.0,11814.0,695.0,митники,2.2,superlow,low,superlow
247,Атаманчук Олексій Петрович,vulyk_29_39,Міністерство внутрішніх справ,заступник начальника - начальник мгб кам'янець-подільського рв умвс україни в хмельницькій обл..,Opel Vectra B;ВАЗ 2101;;,;,53065.0,636780.0,0.64,5766.0,0.0,5766.0,150.0,МВС,9.2,low,superlow,high
249,Афонов Роман Петрович,vulyk_13_107,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника головного управління дфс у запорізький області,Skoda Superb;;;,Nissan X-Trail;;;,45310.0,543720.0,0.54,6709.0,0.0,6709.0,197.0,митники,6.8,low,superlow,medium
264,Бабій Сергій Олександрович,vulyk_55_179,Загальний місцевий суд,суддя павлоградського міськрайонного суду дніпропетровської області,Mitsubishi Lancer;Toyota Rav 4,Toyota Yaris;;,46183.0,554196.0,0.55,14188.0,0.0,14188.0,230.0,суди,3.3,low,superlow,low
308,Бандура Костянтин Валерійович,vulyk_3_31,Прокуратура,миколаївській прокурор з нагляду за додержанням законів у транспортній сфері миколаївської області,Nissan Patrol;,;;;,14015.0,168180.0,0.17,10475.0,6601.0,17076.0,627.0,суди,0.8,superlow,low,superlow
317,Барановський Юрій Богданович,vulyk_1_1703,Прокуратура,начальник відділу процесуального керівництва у кримінальних провадженнях прокуратури області,;;;;;,Hyundai SantaFe;Hyundai SantaFe;Toyota RAV4;;;,119885.0,1438620.0,1.44,11166.0,0.0,11166.0,558.0,суди,10.7,high,low,high
323,Барбара Валентин Петрович,vulyk_56_152,Верховний суд,заступник голови верховного суду україни - секретар судової палати у господарських справах,Mercedes-Benz A 150;;,Mercedes-Benz GL 350;;,93093.0,1117116.0,1.12,29226.0,0.0,29226.0,325.0,суди,3.2,high,superlow,low
329,Барицька Тетяна Луківна,vulyk_8_22,Вищий господарський суд,суддя вищого господарського суду україни,;;,BMW X5;;,50743.0,608916.0,0.61,25246.0,0.0,25246.0,85.0,суди,2.0,low,superlow,superlow
332,Бартащук Любов Петрівна,vulyk_42_163,Загальний місцевий суд,суддя дніпровського районного суду міста києва,BMW X5;;;,;;,50743.0,608916.0,0.61,17811.0,0.0,17811.0,535.0,суди,2.8,low,low,superlow
350,Башинський Станіслав Францович,vulyk_54_175,Загальний місцевий суд,голова житомирського районного суду житомирської області,Nissan Qashqai;;;,Ford Focus;Ford Kuga;;,42666.0,511992.0,0.51,22807.0,0.0,22807.0,200.0,суди,1.9,low,superlow,superlow
365,Безкоровайний Богдан Вікторович,vulyk_1_1287,Прокуратура,прокурор прокуратури Печерського району м. Києва,Infiniti M37x;;;;;,Toyota RAV4;;;;;,58480.0,701760.0,0.7,6490.0,0.0,6490.0,110.0,суди,9.0,medium,superlow,high
386,Бендик Ярослав Миколайович,vulyk_22_129,Прокуратура,заступник прокурора київської області,Toyota Land Cruiser Prado;,Skoda Octavia;;,44016.0,528192.0,0.53,19120.0,1315.0,20435.0,56.0,суди,2.2,low,superlow,superlow
388,Бенедик Анна Петрівна,vulyk_56_114,Апеляційний адміністративний суд,заступник голови харківського апеляційного адміністративного суду,;;,Volkswagen Touareg;;,50629.0,607548.0,0.61,22019.0,24854.0,46873.0,99.0,суди,1.1,low,superlow,superlow
389,Бенедисюк Ігор Михайлович,vulyk_8_82,Вищий господарський суд,суддя вищого господарського суду україни,Volkswagen Touareg;;,Toyota Rav 4;;,49132.0,589584.0,0.59,25948.0,2313.0,28261.0,97.0,суди,1.7,low,superlow,superlow
392,Бердан Наталія Володимирівна,vulyk_21_100,Загальний місцевий суд,голова калуського міськрайонного суду івано-франківської області,Daihatsu;;;,ВАЗ 2121;ВАЗ 21063;ваз 2121;Mercedes-Benz;SsangYong Rexton,16574.0,198888.0,0.2,19908.0,0.0,19908.0,840.0,суди,0.8,superlow,medium,superlow
404,Березнер Володимир Анатолійович,vulyk_11_85,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника гайсинської одпі гу дфс у вінницькій області,УАЗ 469Б;Volkswagen T4;Volkswagen T5,Volkswagen Polo;;;,31902.0,382824.0,0.38,5900.0,4624.0,10524.0,919.0,митники,3.0,superlow,medium,low
425,Бех Микола Олексійович,vulyk_8_164,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mazda CX-5;;,;;,28005.0,336060.0,0.34,21738.0,0.0,21738.0,553.0,суди,1.3,superlow,low,superlow
426,Бех Олег Володимирович,vulyk_25_19,Міністерство внутрішніх справ,в. о. начальника умвс україни в полтавській області,;;;,BMW X5;Mini Cooper;;,43511.0,522132.0,0.52,8957.0,0.0,8957.0,292.0,МВС,4.9,low,superlow,low
428,Бець Юрій Григорович,vulyk_27_109,Міністерство внутрішніх справ,начальник лубенського мв умвс україни в полтавській області,;ІЖ-2715;,BMW X5;ІЖ-2715;,50743.0,608916.0,0.61,6633.0,27554.0,34187.0,58.0,МВС,1.5,low,superlow,superlow
431,Бешта Григорій Борисович,vulyk_59_145,Загальний апеляційний суд,суддя апеляційного суду волинської області,Mazda 6;;,ВАЗ Нива;;;,19762.0,237144.0,0.24,21784.0,5074.0,26858.0,556.0,суди,0.7,superlow,low,superlow
441,Бліщ Оксана Богданівна,vulyk_20_139,Загальний місцевий суд,заступник голови рахівського районного суду закарпатської області,;;;,Toyota Land Cruiser Prado;;;,19642.0,235704.0,0.24,18699.0,0.0,18699.0,526.0,суди,1.1,superlow,low,superlow
447,Бобров Юрій Олександрович,vulyk_44_163,Адміністративний місцевий суд,суддя івано-франківського окружного адміністративного суду,Mercedes-Benz E-Class;;,Opel Corsa;;,32872.0,394464.0,0.39,20085.0,1067.0,21152.0,557.0,суди,1.6,superlow,low,superlow
472,Боднарюк Олег Васильович,vulyk_51_151,Адміністративний місцевий суд,суддя (голова) чернівецького окружного адміністративного суду,BMW X6;;;,Honda Coupe;;;;,73039.0,876468.0,0.88,18292.0,0.0,18292.0,0.0,суди,4.0,medium,superlow,low
492,Бойко Сергій Сергійович,vulyk_26_65,Адміністративний місцевий суд,суддя полтавського окружного адміністративного суду,Skoda Superb;;,Honda CR-V;Skoda Superb;;,50171.0,602052.0,0.6,16845.0,0.0,16845.0,471.0,суди,3.0,low,superlow,low
510,Болобан Валентин Георгійович,vulyk_37_127,Загальний місцевий суд,суддя ленінського районного суду м. донецька,;;,Land Rover Range Rover Sport;;;;;,44325.0,531900.0,0.53,10254.0,0.0,10254.0,81.0,суди,4.3,low,superlow,low
525,Бондар Сергій Володимирович,vulyk_8_83,Вищий господарський суд,суддя вищого господарського суду україни,;;,Renault Koleos;Renault Laguna;,25772.0,309264.0,0.31,22855.0,1556.0,24411.0,871.0,суди,1.1,superlow,medium,superlow
526,Бондар Сергій Миколайович,vulyk_10_141,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник відділу митного оформлення №2 митного поста григорівка південної митниці міндоходів,Ford Fusion;Mitsubishi Pajero Sport;,Ford Fusion;;;;,43354.0,520248.0,0.52,5772.0,0.0,5772.0,204.0,митники,7.5,low,superlow,high
536,Бондаренко Надія Володимирівна,vulyk_27_159,Загальний апеляційний суд,суддя апеляційного суду рівненської області,Renault Laguna;;,;;,11713.0,140556.0,0.14,21329.0,0.0,21329.0,523.0,суди,0.5,superlow,low,superlow
539,Бондаренко Сергій Олександрович,vulyk_39_107,Прокуратура,прокурор м. брянки луганської області,Nissan Teana;;;;;;;;;;;,Audi Q5;;;;,55293.0,663516.0,0.66,17071.0,0.0,17071.0,44.0,суди,3.2,low,superlow,low
560,Бориславський Юрій Любомирович,vulyk_18_32,Загальний місцевий суд,голова залізничного районного суду м. львова,Lexus IS 300;;,Audi Q7;;,76513.0,918156.0,0.92,17153.0,7293.0,24446.0,261.0,суди,3.1,medium,superlow,low
574,Бородавко Ігор Петрович,vulyk_28_169,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника гу дфс у рівненській області,Acura MDX;Infiniti FX 37S;;;;,Mazda 3;;;,69527.0,834324.0,0.83,6755.0,15500.0,22255.0,0.0,митники,3.1,medium,superlow,low
576,Бородовський Станіслав Олександрович,vulyk_44_89,Загальний місцевий суд,суддя івано-франківського міського суду івано-франківської області,;;,Toyota Auris;;,10041.0,120492.0,0.12,18858.0,0.0,18858.0,887.0,суди,0.5,superlow,medium,superlow
580,Бородіна Наталія Михайлівна,vulyk_52_28,Загальний місцевий суд,суддя київського районного суду м. харкова,Lexus RX 350;,Acura RL;;;,53921.0,647052.0,0.65,16924.0,1260.0,18184.0,139.0,суди,3.0,low,superlow,low
608,Братюк Владислав Петрович,vulyk_21_25,Прокуратура,берегівський міжрайонний прокурор закарпатської області,Toyota Camry;Toyota Highlander;;,;;;;,49780.0,597360.0,0.6,11885.0,123.0,12008.0,278.0,суди,4.1,low,superlow,low
612,Брездень Володимир Іванович,vulyk_20_33,Прокуратура,заступник прокурора львівської області,Volvo XC90;;;,;;;,22033.0,264396.0,0.26,18292.0,9678.0,27970.0,781.0,суди,0.8,superlow,medium,superlow
616,Бригинець Лариса Миколаївна,vulyk_55_140,Апеляційний господарський суд,суддя рівненського апелляційного господарського суду,Toyota;,Ford Transit;;,49201.0,590412.0,0.59,20638.0,0.0,20638.0,368.0,суди,2.4,low,superlow,superlow
618,Бринцев Олексій Васильович,vulyk_59_58,Господарський місцевий суд,суддя господарського суду харківської області,Nissan Murano;;,Mitsubishi Lancer;;;,38127.0,457524.0,0.46,18699.0,0.0,18699.0,556.0,суди,2.0,superlow,low,superlow
619,Британчук Володимир Васильович,vulyk_8_165,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Nissan X-Trail;;,Nissan Qashqai;Nissan Qashqai;,57601.0,691212.0,0.69,25197.0,3358.0,28555.0,311.0,суди,2.0,low,superlow,superlow
620,Бровченко Ігор Олександрович,vulyk_55_26,Загальний апеляційний суд,суддя апеляційного суду харківської області,;,Mercedes-Benz CL-350;;,96587.0,1159044.0,1.16,23309.0,2560.0,25869.0,266.0,суди,3.7,high,superlow,low
632,Бугрименко Володимир Григорович,vulyk_43_172,Загальний апеляційний суд,суддя апеляційного суду херсонської області,Chevrolet;;,;;,6377.0,76524.0,0.08,21712.0,0.0,21712.0,774.0,суди,0.3,superlow,medium,superlow
635,Бударний Олександр Володимирович,vulyk_34_81,Міністерство внутрішніх справ,перший заступник начальника - начальник слідчого управління гумвс україни в харківській області,Mercedes-Benz GL 500;;,Toyota Camry;;,59990.0,719880.0,0.72,11378.0,0.0,11378.0,275.0,МВС,5.3,medium,superlow,medium
648,Буленко Олександр Олексійович,vulyk_26_40,Апеляційний суд,заступник голови апеляційного суду полтавської області,Lexus GX;;,Toyota Camry;;;,75058.0,900696.0,0.9,23293.0,0.0,23293.0,301.0,суди,3.2,medium,superlow,low
655,Буракова Алла Миколаївна,vulyk_59_59,Господарський місцевий суд,суддя господарського суду харківської області,Mercedes-Benz C-Class;;,Mercedes-Benz C 180;Skoda Octavia;;,58469.0,701628.0,0.7,15684.0,29890.0,45574.0,467.0,суди,1.3,medium,superlow,superlow
675,Буряк Олександр Олександрович,vulyk_1_1362,Прокуратура,заступник прокурора Дарницького району міста Києва,Mercedes-Benz E-350;;;;;,;;;;;,51440.0,617280.0,0.62,13193.0,10881.0,24074.0,65.0,суди,2.1,low,superlow,superlow
691,Буцький Василь Валерійович,vulyk_16_18,Загальний місцевий суд,голова комінтернівського районного суду м. харкова,Suzuki Grand Vitara;;,Chevrolet Aveo;;;;;;,19513.0,234156.0,0.23,20625.0,5268.0,25893.0,634.0,суди,0.8,superlow,low,superlow
692,Буцьких Дмитро Олександрович,vulyk_12_106,Міністерство внутрішніх справ,заступник начальника дму гумвс україни в дніпропетровській області,Toyota Land Cruiser 200;;;,Lexus ES 350;;,121394.0,1456728.0,1.46,3737.0,0.0,3737.0,240.0,МВС,32.5,high,superlow,high
721,Білий Валерій Олександрович,vulyk_2_192,Прокуратура,перший заступник прокурора суворівського району м. одеси одеської області,Toyota Avalon;Toyota Camry;,Mitsubishi Pajero Sport;;,76042.0,912504.0,0.91,10027.0,0.0,10027.0,0.0,суди,7.6,medium,superlow,high
737,Білоус Сергій Андрійович,vulyk_11_40,Прокуратура,начальник відділу прокуратури вінницької області,Skoda Fabia;;,Renault Logan;Renault Logan;Toyota Rav 4;,62900.0,754800.0,0.75,12196.0,0.0,12196.0,428.0,суди,5.2,medium,superlow,medium
739,Білоусов Сергій Миколайович,vulyk_45_162,Господарський місцевий суд,заступник голови господарського суду полтавської області,Toyota Camry;;,Toyota Rav 4;;;;,43926.0,527112.0,0.53,17499.0,0.0,17499.0,128.0,суди,2.5,low,superlow,superlow
751,Бірюков Руслан Миколайович,vulyk_26_184,Міністерство внутрішніх справ,"заступник начальника убоп гу мвс україни в одеській області, підполковник міліції",BMW;Land Rover Range Rover Sport;,Land Rover Range Rover Sport;;;,118086.0,1417032.0,1.42,9187.0,0.0,9187.0,293.0,МВС,12.9,high,superlow,high
790,Васильонок Вадим Вікторович,vulyk_39_40,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника митного поста - начальник відділу митного оформлення пасажирський митного поста конотоп сумської митниці дфс,ВАЗ 21093;Opel Insignia;Toyota Highlander;;;;;;;;;,Toyota Highlander;;;;,84216.0,1010592.0,1.01,8291.0,0.0,8291.0,142.0,митники,10.2,high,superlow,high
795,Васильєв Олег Юрійович,vulyk_41_3,Господарський місцевий суд,заступник голови господарського суду дніпропетровської області,Honda Pilot;;;,Nissan Note;;;;,30260.0,363120.0,0.36,17700.0,6728.0,24428.0,684.0,суди,1.2,superlow,low,superlow
836,Вербицька Лариса Іванівна,vulyk_43_152,Загальний апеляційний суд,суддя апеляційного суду херсонської області,;;,Range Rover;Porsche Panamera;Volkswagen Touareg,202671.0,2432052.0,2.43,19786.0,0.0,19786.0,662.0,суди,10.2,high,low,high
880,Вишиванюк Олег Богданович,vulyk_21_144,Прокуратура,прокурор косівського району івано-франківської області,;;;,Opel Vectra;;;;,53065.0,636780.0,0.64,12091.0,1106.0,13197.0,0.0,суди,4.0,low,superlow,low
884,Владимиренко Світлана Вячеславівна,vulyk_8_23,Вищий господарський суд,суддя вищого господарського суду україни,Volvo S80;;,;;,15967.0,191604.0,0.19,18725.0,19221.0,37946.0,616.0,суди,0.4,superlow,low,superlow
931,Волошенюк Ірина Євгенівна,vulyk_16_52,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника дпі у дзержинському районі м. харкова гу дфс у харківській області,Toyota Rav 4;;,Audi Q7;Toyota Rav 4;;;;;,78107.0,937284.0,0.94,4632.0,12205.0,16837.0,154.0,митники,4.6,medium,superlow,low
942,Волік Іван Миколайович,vulyk_8_24,Вищий господарський суд,суддя вищого господарського суду україни,Volkswagen Touareg;;,;;,50629.0,607548.0,0.61,23557.0,0.0,23557.0,332.0,суди,2.1,low,superlow,superlow
946,Воробйова Олеся Сергіївна,vulyk_2_46,Прокуратура,старший прокурор прокуратури шевченківського району м. києва,Lexus RX 350;;,Mercedes Benz ML 320;;,47986.0,575832.0,0.58,6345.0,2456.0,8801.0,196.0,суди,5.5,low,superlow,medium
983,Вітюк Анатолій Іванович,vulyk_25_10,Міністерство внутрішніх справ,начальник умвс україни в кіровоградській області,Volkswagen T5;;;,Hyundai IX-35;;;,44492.0,533904.0,0.53,8993.0,6108.0,15101.0,75.0,МВС,2.9,low,superlow,superlow
986,Віхрова Вікторія Станіславівна,vulyk_41_53,Адміністративний місцевий суд,суддя дніпропетровського окружного адміністративного суду,Audi Q7;;;,;;;;,46059.0,552708.0,0.55,14607.0,6390.0,20997.0,370.0,суди,2.2,low,superlow,superlow
1022,Гайдаєв Юрій Олександрович,vulyk_29_146,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник спеціалізованої лабораторії з питань експертизи та досліджень міністерства доходів і зборів україни,Audi Q7;;;,Porsche Cayenne;,94626.0,1135512.0,1.14,12034.0,55427.0,67461.0,1029.0,митники,1.4,high,high,superlow
1056,Гальонкін Сергій Анатолійович,vulyk_26_11,Загальний апеляційний суд,заступник голови апеляційного суду полтавської області,Honda Civic;;,Toyota Rav 4;Honda CR-V;;,25167.0,302004.0,0.3,22380.0,0.0,22380.0,1049.0,суди,1.1,superlow,high,superlow
1063,Галіян Людмила Євгенівна,vulyk_45_102,Загальний апеляційний суд,суддя апеляційного суду тернопільської області,Suzuki Grand Vitara;;,Chevrolet Lacetti;Suzuki Grand Vitara;;;,27143.0,325716.0,0.33,19720.0,21659.0,41379.0,548.0,суди,0.7,superlow,low,superlow
1077,Гапон Ольга Володимирівна,vulyk_16_45,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник дпі у зміївському районі гу міндоходів у харківській області,Toyota Land Cruiser Prado;;,Toyota Camry;;;;;;,46796.0,561552.0,0.56,5357.0,5788.0,11145.0,81.0,митники,4.2,low,superlow,low
1117,Герасимчук Микола Костянтинович,vulyk_28_57,Загальний місцевий суд,голова рівненського міського суду рівненської області,Toyota;;;;;,Peugeot Partner;;;,64659.0,775908.0,0.78,22486.0,3260.0,25746.0,169.0,суди,2.5,medium,superlow,superlow
1129,Гетьман Руслан Анатолійович,vulyk_57_24,Апеляційний господарський суд,суддя харківського апеляційного господарського суду,Toyota Highlander;;;,;;;,43600.0,523200.0,0.52,18219.0,0.0,18219.0,105.0,суди,2.4,low,superlow,superlow
1140,Гирич Сергій Васильович,vulyk_18_44,Загальний місцевий суд,голова личаківського районного суду м. львова,Land Rover Freelander;;,Mazda 2;;,45900.0,550800.0,0.55,19778.0,6484.0,26262.0,0.0,суди,1.7,low,superlow,superlow
1144,Гладкіх Олег Васильович,vulyk_13_191,Прокуратура,перший заступник прокурора дніпропетровської області,BMW E64;Mercedes-Benz S-600;ГАЗ 2410;,BMW X 6;;;,84744.0,1016928.0,1.02,15443.0,0.0,15443.0,558.0,суди,5.5,high,low,medium
1148,Гладій Роман Михайлович,vulyk_20_14,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник стрийської одпі гу дфс у львівській області,Kia Picanto;;;,Opel Combo;;;,9451.0,113412.0,0.11,4982.0,1225.0,6207.0,585.0,митники,1.5,superlow,low,superlow
1153,Глиняний Віктор Петрович,vulyk_51_57,Загальний апеляційний суд,"суддя, секретар судової палати з розгляду кримінальних справ апеляційного суду м. києва",BMW X5;;;,;;;;,69438.0,833256.0,0.83,21906.0,0.0,21906.0,306.0,суди,3.2,medium,superlow,low
1162,Глущенко Євгенія Данилівна,vulyk_55_20,Загальний місцевий суд,суддя роменського міськрайонного суду сумської області,;,Volkswagen Touareg;;,57270.0,687240.0,0.69,19844.0,0.0,19844.0,32.0,суди,2.9,low,superlow,superlow
1180,Година Ірина Іванівна,vulyk_29_196,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника кременчуцької одпу гу міндоходів у полтавській області,Toyota Rav 4;;;,Toyota Camry;,42902.0,514824.0,0.51,5083.0,0.0,5083.0,405.0,митники,8.4,low,superlow,high
1185,Гоздуп Костянтин Володимирович,vulyk_11_25,Прокуратура,"начальник відділу нагляду за додержанням законів органами сбу, державної митної служби та державної прикордонної служби україни прокуратури вінницької області",;;,Ford Fiesta;Mercedes-Benz E 200 CDI;;,81572.0,978864.0,0.98,11453.0,7321.0,18774.0,84.0,суди,4.3,medium,superlow,low
1213,Голоюх Віктор Іванович,vulyk_20_45,Прокуратура,прокурор городоцького району львівської області,Nissan Almera;;;,SsangYong Rexton;;;,20833.0,249996.0,0.25,13720.0,1776.0,15496.0,645.0,суди,1.3,superlow,low,superlow
1239,Гончар Віталій Петрович,vulyk_8_124,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,;;,Audi Q7;;,56096.0,673152.0,0.67,24758.0,0.0,24758.0,657.0,суди,2.3,low,low,superlow
1246,Гончаренко Андрій Миколайович,vulyk_16_125,Прокуратура,прокурор м. харкова,Nissan X-Trail;Mercedes-Benz ML 320;,Daewoo Nubira;Volkswagen Golf;;;;;,59025.0,708300.0,0.71,14892.0,0.0,14892.0,143.0,суди,4.0,medium,superlow,low
1252,Гончаров Віталій Васильович,vulyk_25_14,Міністерство внутрішніх справ,начальник умвс україни в миколаївській області,Lexus 570;;;,Honda CR-V;Honda Civic;;,35648.0,427776.0,0.43,7202.0,0.0,7202.0,830.0,МВС,4.9,superlow,medium,low
1263,Гончарук Петро Андрійович,vulyk_8_87,Вищий господарський суд,суддя вищого господарського суду україни,Subaru Tribeca;;,;;,14586.0,175032.0,0.18,26039.0,1460.0,27499.0,673.0,суди,0.5,superlow,low,superlow
1265,Гопа Олександр Михайлович,vulyk_21_6,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника гу дфс у закарпатській області,Skoda Superb;;;,Toyota Rav 4;;;;,55241.0,662892.0,0.66,7608.0,0.0,7608.0,98.0,митники,7.3,low,superlow,high
1273,Горбатюк Олег Петрович,vulyk_14_179,Міністерство внутрішніх справ,начальник управління матеріального забезпечення гумвс україни в одеській області,BMW X5;;;,ВАз 21074;;;,14869.0,178428.0,0.18,12180.0,3730.0,15910.0,539.0,МВС,0.9,superlow,low,superlow
